refArea,Percentage of cases out of national total ,structure,Observation URI,references,Existence of chronic diseases - Hypertension,publisher,Existence of chronic diseases - does not exist,Town,Nb of Covid-19 cases,Existence of chronic diseases - Cardiovascular disease ,dataset,Existence of chronic diseases - Diabetes 
https://dbpedia.org/page/Mount_Lebanon_Governorate,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-+Bireh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0, Bireh,72,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/South_Governorate,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,A'ain El-Mir (El Establ),62,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,AAridet Cheikh Zennad,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/North_Governorate,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaba,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaba,125,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Baabda_District,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabadiyeh,471,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabaydat,120,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Nabatieh_Governorate,9.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabba,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aabba,903,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Tyre_District,3.10E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabbesiyyi,3244,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Bsharri_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabdine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabdine,84,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Sidon_District,2.00E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabra Saida,2156,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Batroun_District,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aabrine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aabrine,239,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Zgharta_District,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aachach,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aachach,166,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Keserwan_District,1.10E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aachqout,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aachqout,1155,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Marjeyoun_District,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadaysseh+Marjaayoun,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aadaysseh Marjaayoun,413,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Nabatieh_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadchit+Ech-Chqif,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aadchit Ech-Chqif,6,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Marjeyoun_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadchit+El-Qoussair,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aadchit El-Qoussair,22,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
